     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,05/19/2018-05/25/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R017,LEXINGTON AVENUE              ,00028288,00001869,00000085,00000289,00000105,00006954,00014930,00000000,00000000,00000000,00000070,00000508,00000224,00000145,00001886,00001378,00000492,00000000,00000390,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00027845,00002528,00000396,00000998,00000012,00020945,00027429,00000000,00000000,00000000,00000012,00000163,00000603,00000011,00001949,00000349,00000491,00000000,00000357,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00009173,00000679,00000141,00000309,00000003,00005535,00007392,00000000,00000000,00000000,00000012,00000133,00000269,00000002,00000795,00000180,00000097,00000000,00000042,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00041402,00002740,00000173,00000436,00000093,00013941,00023476,00000000,00000000,00000000,00000161,00000844,00000417,00000100,00004249,00001715,00000828,00000000,00000563,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00027413,00001469,00000139,00000378,00000031,00010413,00020472,00000000,00000000,00000000,00000112,00000650,00000223,00000020,00003076,00001077,00000656,00000000,00000383,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00051832,00003000,00000240,00000691,00000162,00022236,00032430,00000000,00000000,00000000,00000471,00000588,00000720,00000118,00003969,00001486,00000896,00000000,00000796,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00040317,00002135,00000160,00000478,00000081,00011689,00022526,00000000,00000000,00000000,00000088,00000617,00000442,00000099,00002407,00001454,00000716,00000000,00000469,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00013065,00000820,00000137,00000235,00000075,00009211,00005746,00000000,00000000,00000000,00000006,00000057,00000290,00000059,00000510,00000224,00000082,00000000,00002881,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00014735,00000743,00000244,00000499,00000006,00014789,00009722,00000000,00000000,00000000,00000018,00000079,00000379,00000006,00001293,00000245,00000145,00000000,00000115,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R027,WALL STREET                   ,00017444,00000798,00000028,00000154,00000165,00003955,00010065,00000000,00000000,00000000,00000040,00000264,00000095,00000236,00001496,00000769,00000377,00000000,00000228,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00019634,00001323,00000107,00000348,00000080,00006922,00013588,00000000,00000000,00000000,00000045,00000241,00000195,00000104,00002341,00000658,00000400,00000000,00000291,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R029,PARK PLACE                    ,00039383,00001936,00000134,00000433,00000133,00010918,00019204,00000000,00000000,00000000,00000450,00000520,00000406,00000194,00002659,00001339,00000758,00000000,00000615,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00014027,00000960,00000064,00000197,00000077,00004456,00007962,00000000,00000000,00000000,00000048,00000186,00000142,00000129,00001136,00000624,00000310,00000000,00000191,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00027018,00001812,00000138,00000284,00000195,00008006,00010352,00000000,00000000,00000000,00000090,00000273,00000329,00000310,00001370,00001124,00000366,00000000,00000281,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00027770,00001604,00000119,00000338,00000044,00010362,00019857,00000000,00000000,00000000,00000095,00000439,00000208,00000015,00002312,00001112,00000682,00000000,00000323,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00043941,00002491,00000216,00000560,00000067,00020569,00020559,00000000,00000000,00000000,00000190,00000466,00000732,00000066,00003164,00001230,00000713,00000000,00000763,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00005009,00000509,00000034,00000109,00000003,00002851,00003655,00000000,00000000,00000000,00000005,00000034,00000081,00000006,00000327,00000130,00000106,00000000,00000062,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00016772,00001498,00000155,00000271,00000020,00009697,00012877,00000000,00000000,00000000,00000030,00000110,00000348,00000016,00001092,00000441,00000406,00000000,00000177,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00004422,00000548,00000054,00000121,00000001,00004015,00002608,00000000,00000000,00000000,00000005,00000009,00000167,00000000,00000258,00000028,00000041,00000000,00000042,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R037,207TH STREET                  ,00002968,00000316,00000064,00000067,00000000,00003965,00002154,00000000,00000000,00000000,00000005,00000007,00000097,00000001,00000180,00000018,00000029,00000000,00000022,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R038,215TH STREET                  ,00001071,00000108,00000014,00000036,00000002,00000670,00000802,00000000,00000000,00000000,00000003,00000011,00000029,00000000,00000073,00000016,00000019,00000000,00000008,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R039,225TH STREET                  ,00003402,00000269,00000043,00000041,00000010,00002573,00001743,00000000,00000000,00000000,00000005,00000012,00000079,00000002,00000186,00000046,00000047,00000000,00000025,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R040,231ST STREET                  ,00005158,00000653,00000106,00000205,00000002,00004088,00003693,00000000,00000000,00000000,00000019,00000034,00000167,00000001,00000408,00000101,00000078,00000000,00000022,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00013262,00000822,00000087,00000249,00000092,00005790,00009143,00000000,00000000,00000000,00000598,00000188,00000201,00000131,00001425,00000505,00000234,00000000,00000167,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00002524,00000120,00000018,00000032,00000009,00001799,00001307,00000000,00000000,00000000,00000040,00000032,00000014,00000021,00000186,00000085,00000035,00000000,00000050,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R043,WALL STREET                   ,00013477,00000730,00000046,00000114,00000062,00004223,00008556,00000000,00000000,00000000,00000247,00000202,00000107,00000119,00001053,00000552,00000252,00000000,00000160,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00022147,00001621,00000107,00000331,00000051,00008566,00012737,00000000,00000000,00000000,00000122,00000236,00000250,00000110,00001700,00000688,00000391,00000000,00000273,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00019550,00001170,00000049,00000099,00000244,00003153,00006761,00000000,00000000,00000000,00000056,00000230,00000087,00000281,00000957,00000995,00000245,00000000,00000152,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00060614,00003059,00000177,00000392,00000481,00015504,00024799,00000000,00000000,00000000,00000213,00000606,00000510,00000545,00003459,00002368,00000825,00000000,00000814,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00028731,00001622,00000097,00000246,00000159,00007991,00017912,00000000,00000000,00000000,00000163,00000448,00000109,00000253,00002642,00001347,00000548,00000000,00000318,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00009754,00000448,00000025,00000076,00000049,00002234,00005902,00000000,00000000,00000000,00000020,00000134,00000032,00000050,00000626,00000467,00000171,00000000,00000104,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00014486,00000838,00000049,00000168,00000023,00005587,00008335,00000000,00000000,00000000,00000090,00000257,00000085,00000011,00001382,00000610,00000253,00000000,00000250,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00015680,00001148,00000090,00000216,00000043,00005905,00010437,00000000,00000000,00000000,00000103,00000276,00000150,00000055,00001499,00000712,00000340,00000000,00000183,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00019658,00001532,00000117,00000303,00000034,00010725,00014504,00000000,00000000,00000000,00000086,00000292,00000182,00000036,00001939,00000667,00000452,00000000,00000184,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00002833,00000208,00000047,00000119,00000009,00002943,00001764,00000000,00000000,00000000,00000012,00000014,00000167,00000001,00000188,00000031,00000008,00000000,00000007,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00010766,00000648,00000155,00000281,00000005,00012150,00005899,00000000,00000000,00000000,00000006,00000047,00000341,00000002,00000890,00000069,00000067,00000000,00000054,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00008987,00000488,00000039,00000114,00000027,00003449,00006326,00000000,00000000,00000000,00000039,00000140,00000102,00000009,00000797,00000283,00000204,00000000,00000121,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R055,MAIN STREET                   ,00024628,00002830,00000258,00001585,00000009,00014733,00026153,00000000,00000000,00000000,00000028,00000183,00000533,00000007,00001335,00000293,00000204,00000000,00000195,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R056,NEVINS STREET                 ,00006389,00000619,00000099,00000173,00000004,00003896,00004345,00000000,00000000,00000000,00000032,00000037,00000158,00000006,00000690,00000146,00000124,00000000,00000046,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00027760,00002108,00000238,00000576,00000284,00012536,00018185,00000000,00000000,00000000,00000043,00000252,00000408,00000362,00002337,00000929,00000574,00000000,00000326,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R058,BERGEN STREET                 ,00001995,00000146,00000018,00000050,00000001,00000884,00002103,00000000,00000000,00000000,00000003,00000032,00000030,00000001,00000366,00000095,00000089,00000000,00000025,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00004123,00000664,00000048,00000133,00000002,00001682,00003705,00000000,00000000,00000000,00000004,00000055,00000072,00000005,00000618,00000159,00000135,00000000,00000040,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00003370,00000459,00000043,00000076,00000002,00001719,00002635,00000000,00000000,00000000,00000002,00000027,00000105,00000002,00000427,00000090,00000110,00000000,00000094,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00002011,00000187,00000042,00000057,00000002,00001745,00001696,00000000,00000000,00000000,00000002,00000007,00000073,00000001,00000228,00000024,00000039,00000000,00000032,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00012940,00000914,00000263,00000406,00000002,00011138,00009176,00000000,00000000,00000000,00000018,00000094,00000267,00000005,00001326,00000102,00000223,00000000,00000057,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R063,SUTTER AVENUE                 ,00003874,00000266,00000068,00000062,00000002,00002999,00001767,00000000,00000000,00000000,00000005,00000026,00000174,00000000,00000225,00000015,00000070,00000000,00000024,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00003351,00000188,00000046,00000069,00000001,00002334,00001624,00000000,00000000,00000000,00000001,00000019,00000088,00000000,00000195,00000017,00000026,00000000,00000012,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00002604,00000206,00000035,00000070,00000000,00002092,00000990,00000000,00000000,00000000,00000002,00000002,00000178,00000000,00000154,00000191,00000016,00000000,00000007,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R066,JUNIUS STREET                 ,00001056,00000093,00000015,00000020,00000000,00001110,00000522,00000000,00000000,00000000,00000003,00000004,00000052,00000000,00000046,00000003,00000005,00000000,00000006,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00002504,00000171,00000041,00000062,00000000,00002049,00000997,00000000,00000000,00000000,00000007,00000009,00000120,00000000,00000156,00000007,00000016,00000000,00000008,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00001744,00000129,00000032,00000040,00000002,00001306,00000794,00000000,00000000,00000000,00000001,00000005,00000070,00000000,00000127,00000010,00000014,00000000,00000005,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00002636,00000205,00000063,00000086,00000000,00002518,00001378,00000000,00000000,00000000,00000001,00000008,00000091,00000000,00000210,00000015,00000020,00000000,00000018,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00010107,00000606,00000032,00000125,00000007,00001579,00002760,00000000,00000000,00000000,00000100,00000262,00000036,00000001,00000306,00000668,00000050,00000000,00000031,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00008062,00000259,00000016,00000056,00000016,00003292,00003386,00000000,00000000,00000000,00000043,00000067,00000081,00000008,00000477,00000201,00000110,00000000,00000108,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00012981,00000811,00000053,00000145,00000028,00004647,00006847,00000000,00000000,00000000,00000077,00000154,00000144,00000038,00001080,00000502,00000237,00000000,00000182,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00022551,00001787,00000118,00000347,00000026,00009400,00016905,00000000,00000000,00000000,00000093,00000310,00000260,00000024,00002501,00000952,00000550,00000000,00000364,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00017973,00000873,00000069,00000260,00000015,00008457,00011328,00000000,00000000,00000000,00000077,00000246,00000189,00000006,00001862,00000614,00000328,00000000,00000347,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00008004,00000348,00000060,00000084,00000007,00004016,00006286,00000000,00000000,00000000,00000033,00000107,00000096,00000004,00000678,00000258,00000236,00000000,00000157,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00015138,00000694,00000091,00000187,00000018,00006381,00011521,00000000,00000000,00000000,00000130,00000206,00000107,00000016,00001394,00000660,00000407,00000000,00000230,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00048946,00003834,00000260,00000794,00000098,00022035,00030729,00000000,00000000,00000000,00000134,00000441,00000550,00000109,00003618,00001708,00001006,00000000,00000872,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00011053,00000773,00000045,00000140,00000014,00004024,00007747,00000000,00000000,00000000,00000033,00000122,00000079,00000012,00001193,00000422,00000243,00000000,00000193,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00011012,00000434,00000035,00000056,00000007,00004899,00007086,00000000,00000000,00000000,00000049,00000106,00000082,00000008,00000856,00000318,00000226,00000000,00000258,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R087,CITY HALL                     ,00004255,00000365,00000035,00000094,00000003,00001626,00003201,00000000,00000000,00000000,00000044,00000071,00000059,00000003,00000375,00000176,00000119,00000000,00000058,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00016671,00000557,00000031,00000103,00000006,00004819,00007358,00000000,00000000,00000000,00000071,00000210,00000119,00000005,00000945,00000547,00000291,00000000,00000305,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00002700,00000161,00000010,00000027,00000002,00000832,00001751,00000000,00000000,00000000,00000018,00000035,00000032,00000000,00000212,00000124,00000064,00000000,00000024,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00002886,00000204,00000034,00000065,00000004,00002160,00002501,00000000,00000000,00000000,00000007,00000029,00000066,00000001,00000227,00000060,00000078,00000000,00000065,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00010293,00000783,00000063,00000183,00000007,00005072,00011269,00000000,00000000,00000000,00000006,00000090,00000320,00000002,00001410,00000288,00000417,00000000,00000105,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00010422,00000536,00000054,00000129,00000005,00005342,00010328,00000000,00000000,00000000,00000005,00000083,00000247,00000002,00001335,00000251,00000348,00000000,00000087,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00009996,00000623,00000057,00000095,00000001,00004279,00008859,00000000,00000000,00000000,00000004,00000129,00000208,00000004,00001130,00000237,00000266,00000000,00000101,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00008959,00000984,00000127,00000204,00000004,00007267,00005632,00000000,00000000,00000000,00000003,00000032,00000260,00000001,00000380,00000070,00000119,00000000,00000110,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00015015,00000544,00000093,00000147,00000004,00012750,00006086,00000000,00000000,00000000,00000004,00000039,00000289,00000002,00000333,00000048,00000089,00000000,00000076,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00008866,00000725,00000161,00000254,00000003,00007558,00007525,00000000,00000000,00000000,00000007,00000059,00000192,00000003,00000939,00000069,00000234,00000000,00000067,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00011714,00000831,00000123,00000343,00000003,00005550,00011466,00000000,00000000,00000000,00000023,00000157,00000171,00000007,00001607,00000471,00000289,00000000,00000151,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00001888,00000123,00000022,00000061,00000000,00001153,00001205,00000000,00000000,00000000,00000000,00000017,00000034,00000000,00000093,00000048,00000017,00000000,00000006,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R101,145TH STREET                  ,00011021,00000637,00000108,00000242,00000008,00010899,00011785,00000000,00000000,00000000,00000014,00000052,00000295,00000004,00001196,00000133,00000285,00000000,00000130,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R102,125TH STREET                  ,00014143,00001042,00000225,00000382,00000006,00011938,00011860,00000000,00000000,00000000,00000026,00000080,00000315,00000007,00001388,00000220,00000327,00000000,00000171,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00004267,00000244,00000074,00000117,00000003,00003988,00002190,00000000,00000000,00000000,00000006,00000013,00000154,00000001,00000235,00000022,00000028,00000000,00000030,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00004999,00000261,00000057,00000099,00000000,00005993,00003054,00000000,00000000,00000000,00000003,00000007,00000174,00000001,00000297,00000021,00000066,00000000,00000028,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00014989,00001669,00000115,00000377,00000023,00007174,00010338,00000000,00000000,00000000,00000031,00000213,00000158,00000020,00001441,00000603,00000368,00000000,00000231,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00003902,00000200,00000040,00000052,00000000,00002977,00002044,00000000,00000000,00000000,00000014,00000025,00000105,00000000,00000275,00000031,00000026,00000000,00000014,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00003061,00000230,00000037,00000078,00000000,00002391,00001787,00000000,00000000,00000000,00000012,00000016,00000135,00000000,00000209,00000034,00000023,00000000,00000006,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00023072,00002466,00000221,00000512,00000066,00008747,00015895,00000000,00000000,00000000,00000134,00000236,00000425,00000073,00002285,00000814,00000458,00000000,00000267,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00005647,00000434,00000095,00000156,00000001,00004215,00003147,00000000,00000000,00000000,00000003,00000030,00000150,00000000,00000423,00000030,00000076,00000000,00000022,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00009495,00000772,00000208,00000295,00000004,00007055,00006829,00000000,00000000,00000000,00000029,00000105,00000146,00000000,00000920,00000146,00000109,00000000,00000031,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R111,23RD STREET & 8TH AVENUE      ,00014407,00001406,00000130,00000356,00000015,00007106,00010622,00000000,00000000,00000000,00000046,00000174,00000199,00000008,00001300,00000502,00000358,00000000,00000311,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
